probIn varB
0.2280403 0.0003791411
0.223097 0.0003805545
0.2164573 0.0003977193
0.2248137 0.0004038459
0.2173874 0.0004007574
0.230765 0.0004069265
0.224707 0.0004035488
0.2189332 0.0003855161
0.2375939 0.0003859084
0.2420555 0.0004062774
0.2372768 0.0003983711
0.2394971 0.0004156781
0.239543 0.000399372
0.2424961 0.0003998948
0.2359114 0.0004016217
0.2402108 0.0004043281
0.2374744 0.0004205097
0.2297037 0.0004137005
0.2258457 0.0004111628
0.229777 0.0004324582
0.2206933 0.0004426189
0.2237229 0.000424068
0.2193951 0.0004250671
0.2217401 0.0004246249
0.2268851 0.0004494755
0.2312772 0.0004278755
0.2326668 0.0004346243
0.2311121 0.0004438253
0.2274983 0.0004648452
0.2258437 0.0004400434
0.227653 0.0004380157
0.2250066 0.0004194799
0.2221067 0.0004321464
0.2185311 0.0004448649
0.2175656 0.0004328001
0.2196684 0.0004287692
0.2231614 0.000420734
0.2244473 0.0004228991
0.230618 0.000417791
0.232278 0.0004064692
0.2158197 0.0004079264
0.2271719 0.0004201667
0.2440858 0.000407889
0.2511258 0.0003921734
0.2366768 0.0004039303
0.2522032 0.000387929
0.2537311 0.0003951124
0.2511844 0.0004022831
0.2508275 0.0003994984
0.2475415 0.000404174
0.2477298 0.0004058425
0.2534604 0.0004014677
0.2545301 0.0003954657
0.2511006 0.0003905144
0.2491762 0.0003992944
0.2465397 0.0004042502
0.2496161 0.0004053833
0.2386524 0.0003960046
0.2371109 0.0003858604
0.2403368 0.0004077276
0.2350821 0.000398648
0.2214726 0.0004092118
0.2172403 0.0004181753
0.2135648 0.0004251344
0.2204524 0.0004140995
0.2148737 0.0004097809
0.221833 0.0004295201
0.2130089 0.0004376235
0.212366 0.0004713984
0.2150599 0.000469448
0.2148965 0.0004671262
0.2138628 0.0004689079
0.2149454 0.000474363
0.2106996 0.0004633899
0.2094404 0.0004773903
0.219847 0.0004780965
0.2125127 0.0004804757
0.2113118 0.0004816311
0.206586 0.0004763114
0.2119608 0.0004579347
0.2106967 0.0004504344
0.2133086 0.0004469395
0.2152633 0.0004472089
0.2033603 0.0004548613
0.2085866 0.000453805
0.2019083 0.0004555562
0.2003617 0.0004508087
0.2016229 0.0004635863
0.2064942 0.0004735987
0.2119034 0.000463914
0.2064094 0.0004525632
0.20812 0.000457381
0.2016929 0.0004736852
0.2108052 0.0004664673
0.204366 0.0004606862
0.2013233 0.0004562853
0.2087287 0.0004515112
0.2024941 0.0004465403
0.1929483 0.000448311
0.1955736 0.0004588183
0.1951769 0.0004807438
0.1964965 0.0004998912
0.1925034 0.0004796794
0.1969088 0.0004720908
0.1911857 0.0004868414
0.1852902 0.0004842528
0.1957429 0.0004882516
0.1865747 0.0004910425
0.195328 0.0004792291
0.1961735 0.0004757454
0.1987577 0.0004696302
0.204684 0.0004751889
0.2033732 0.0004650737
0.2044965 0.0004553506
0.2036982 0.0004595414
0.2082738 0.0004411482
0.2184564 0.0004622268
0.2172643 0.000468575
0.2138937 0.0004650602
0.2086441 0.0004691223
0.2154399 0.0004797253
0.2209405 0.0004886799
0.2160824 0.0004567843
0.2204437 0.0004556728
0.2195704 0.0004841029
0.2032768 0.0004853342
0.2068185 0.0004954397
0.2069054 0.0004862874
0.1978652 0.0004845648
0.1991543 0.0004902871
0.2075432 0.0004983791
0.2069989 0.0004847433
0.2117749 0.0004836448
0.2108635 0.0004774795
0.2105935 0.0004652632
0.2168667 0.0004500621
0.2165518 0.0004501018
0.2083235 0.0004635223
0.2056377 0.0004684954
0.2036487 0.0004751562
0.2026586 0.0004936238
0.2033447 0.0005037748
0.2032944 0.0004853034
0.2002347 0.0004811611
0.201177 0.0004830428
0.2053341 0.0004696886
0.2043535 0.0004718245
0.2011868 0.000479298
0.2050868 0.0004838462
0.2070317 0.0004729047
0.2045252 0.0004701883
0.2075951 0.0004643242
0.209808 0.0004551446
0.2117202 0.0004649376
0.2086395 0.0004462351
0.2252547 0.0004385165
0.2302984 0.0004436257
0.2231495 0.0004389187
0.223535 0.0004455125
0.2212931 0.000459978
0.2174596 0.0004493727
0.2268529 0.0004457201
0.2235066 0.0004484742
0.2135701 0.0004424836
0.2081338 0.0004495188
0.2115371 0.0004509914
0.2170408 0.000439529
0.2170368 0.0004431386
0.2115586 0.0004513174
0.2105458 0.0004620469
0.2141246 0.0004671915
0.2074217 0.0004720286
0.2070627 0.0004780104
0.2089932 0.0004761957
0.2075499 0.0004825443
0.2008339 0.0005005868
0.198891 0.0004928373
0.2072378 0.000487707
0.2021324 0.0005001153
0.1962243 0.0005119778
0.2010834 0.0004953063
0.1951817 0.0005019348
0.1973391 0.000490073
0.2002964 0.0004851133
0.1953635 0.0004834854
0.1939674 0.0004647823
0.2042588 0.000468772
0.1993915 0.0004804732
0.199367 0.0004708153
0.1909004 0.0004690078
0.1943038 0.0004689588
0.1964527 0.000461648
0.2055598 0.0004677978
0.2053827 0.0004464502
0.2097198 0.0004437413
0.2140703 0.000435277
0.2055322 0.0004536469
0.2008925 0.0004396798
0.2110387 0.0004545917
0.2104447 0.0004622456
0.2017946 0.0004463917
0.1977899 0.0004482366
0.1994342 0.0004683209
0.2048511 0.0004625328
0.2015706 0.0004672823
0.2037714 0.0004556517
0.2093094 0.0004488092
0.2075463 0.0004685309
0.2054787 0.0004750796
0.2078456 0.0004830927
0.2068374 0.00046595
0.2087989 0.0004604027
0.2090637 0.000464763
0.197953 0.000455558
0.2021435 0.0004454828
0.2050333 0.0004433304
0.2126387 0.0004469902
0.2144947 0.0004366504
0.2112708 0.0004396261
0.2178528 0.0004308351
0.2229351 0.0004166556
0.230183 0.0004192527
0.2302072 0.0004153592
0.2257927 0.000418106
0.2202559 0.0004125391
0.2227474 0.000426302
0.225015 0.0004255929
0.2323916 0.0004340135
0.2346363 0.0004204207
0.2320588 0.000424627
0.2255602 0.0004186592
0.2279973 0.0004316858
0.2281507 0.000428785
0.2305485 0.0004214047
0.2323004 0.0004232314
0.2464666 0.0004280341
0.2457062 0.0004100969
0.2439065 0.0004163734
0.2511936 0.0004053131
0.2537851 0.0004210694
0.2424501 0.0004251498
0.2344769 0.0004237321
0.2335802 0.0004353657
0.2320922 0.0004160732
0.2418846 0.0004368514
0.2351296 0.0004408314
0.2378352 0.0004478165
0.2322914 0.0004391949
0.2415471 0.0004418644
0.2376597 0.0004409894
0.2394275 0.0004456055
0.2406942 0.0004472862
0.2327431 0.0004475685
0.2335548 0.0004316271
0.2376513 0.0004369048
